id,family_id,parent_id,name,bookkeeping,level,status,latitude,longitude,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
dobi1240,afro1255,kist1241,Dobi,FALSE,dialect,safe,,,,,,0,0,0,
dobo1243,sino1245,bahi1252,Dobo Lo,FALSE,dialect,safe,,,,,,0,0,0,
dobo1244,aust1307,ambo1250,Dobo Malay,FALSE,dialect,safe,,,,,,0,0,0,
dobu1240,aust1307,nort2848,Dobu-Duau linkage,FALSE,family,safe,,,,,,2,7,34,
dobu1241,aust1307,dobu1240,Dobu,FALSE,language,safe,-9.63239,150.825,dob,,,0,0,5,PG
doch1234,sino1245,cakk1238,Dochari,FALSE,dialect,safe,,,,,,0,0,0,
dode1238,indo1319,sout2606,Dodecanese,FALSE,dialect,safe,,,,,,0,0,0,
dodi1239,nort2923,tobe1252,Dodinga,FALSE,dialect,safe,,,,,,0,0,0,
dodo1240,nilo1247,kara1483,Dodos,FALSE,dialect,safe,,,,,,0,0,0,
doee1238,atla1278,east2756,Doe,FALSE,language,vulnerable,-6.25844,38.4902,doe,,,0,0,0,TZ
doee1242,afro1255,peve1243,Doe (Chadic),FALSE,dialect,safe,,,,,,0,0,0,
dofa1238,atla1278,djim1235,Dofana,FALSE,dialect,safe,,,,,,0,0,0,
doga1238,aust1307,arei1235,Doga,FALSE,language,definitely endangered,-9.63698,149.841,dgg,,,0,0,0,PG
doga1242,afro1255,miga1249,Doga (Chad),FALSE,dialect,safe,,,,,,0,0,0,
dogb1238,atla1278,ajab1235,Dogbo,FALSE,dialect,safe,,,,,,0,0,0,
dogh1241,nucl1709,baru1268,Doghoro,FALSE,language,safe,-9.13688,148.766,dgx,,,0,0,0,PG
dogo1292,atla1278,ajab1235,Dogo (Benin),FALSE,dialect,safe,,,,,,0,0,0,
dogo1293,atla1278,sout3164,Dogoso-Khe,FALSE,family,safe,,,,,,0,2,0,
